"stationName","date","Rn_Avg_qc_mm","Rn_Avg_qc_count","Rn_Avg_gf_mm","Rn_Avg_gf_count","Rn_Avg_qc_mm_Dqc","Rn_Avg_gf_mm_Dqc","Rn_Avg_gf_mm_Dgf","Tc_H_qc_mm","Tc_H_gf_mm","Tc_aH_qc_mm","Tc_aH_qc_count","Tc_aH_gf_mm","Tc_aH_gf_count","Tc_aH_qc_mm_Dqc","Tc_aH_gf_mm_Dqc","Tc_aH_gf_mm_Dgf","ET_Tc_aH_qc_Dqc","ET_Tc_aH_gf_Dqc","ET_Tc_aH_qc_Dgf","ET_Tc_aH_gf_Dgf","ET_Tc_aH_gf_Dgf2","Tn_H_qc_mm","Tn_H_gf_mm","Tn_aH_qc_mm","Tn_aH_qc_count","Tn_aH_gf_mm","Tn_aH_gf_count","Tn_aH_qc_mm_Dqc","Tn_aH_gf_mm_Dqc","Tn_aH_gf_mm_Dgf","ET_Tn_aH_qc_Dqc","ET_Tn_aH_gf_Dqc","ET_Tn_aH_qc_Dgf","ET_Tn_aH_gf_Dgf","ET_Tn_aH_gf_Dgf2","SR_aH_qc_mm","SR_aH_qc_count","SR_aH_gf_mm","SR_aH_gf_count","SR_aH_qc_mm_Dqc","SR_aH_gf_mm_Dqc","ET_SR_aH_qc_Dqc","ET_SR_aH_gf_Dqc","SR_aH_gf_mm_Dgf","ET_SR_aH_qc_Dgf","ET_SR_aH_gf_Dgf","ET_SR_aH_gf_Dgf2","ETo_mm","Ka_Tc","Ka_Tn","Ka_SR","rDateTime"
"D01_Union_Corn","2016-05-13",5.84253012926808,48,5.84253012926808,48,5.84253012926808,5.84253012926808,5.84253012926808,NA,7.09960966098617,NA,46,6.20338724028407,48,NA,6.20338724028407,6.20338724028407,NA,-0.360857111015993,-0.360857111015993,-0.360857111015993,-0.360857111015993,NA,7.20323916459353,NA,44,6.29385794969329,48,NA,6.29385794969329,6.29385794969329,NA,-0.451327820425215,-0.451327820425215,-0.451327820425215,-0.451327820425215,6.26354904159167,48,6.24862259498868,48,6.26354904159167,6.24862259498868,-0.42101891232359,-0.406092465720604,6.24862259498868,-0.406092465720604,-0.406092465720604,-0.406092465720604,5.31,-0.067958024673445,-0.084995823055596,-0.0764769238645206,2016-05-13
"D01_Union_Corn","2016-05-14",5.6245302740034,48,5.6245302740034,48,5.6245302740034,5.6245302740034,5.6245302740034,5.424490583785,5.424490583785,4.82210096452334,48,4.82210096452334,48,4.82210096452334,4.82210096452334,4.82210096452334,0.802429309480059,0.802429309480059,0.802429309480059,0.802429309480059,0.802429309480059,NA,5.81441459794162,NA,47,5.15964420586673,48,NA,5.15964420586673,5.15964420586673,NA,0.464886068136673,0.464886068136673,0.464886068136673,0.464886068136673,5.00042620346651,48,4.99087258519503,48,5.00042620346651,4.99087258519503,0.624104070536886,0.633657688808366,4.99087258519503,0.633657688808366,0.633657688808366,0.633657688808366,4.93,0.162764565817456,0.0942973769039905,0.128530971360723,2016-05-14
"D01_Union_Corn","2016-05-15",5.4925131199248,48,5.4925131199248,48,5.4925131199248,5.4925131199248,5.4925131199248,6.62361648929629,6.62361648929629,5.85985402379437,48,5.85985402379437,48,5.85985402379437,5.85985402379437,5.85985402379437,-0.367340903869572,-0.367340903869572,-0.367340903869572,-0.367340903869572,-0.367340903869572,NA,7.08607498212773,NA,45,6.25135044161402,48,NA,6.25135044161402,6.25135044161402,NA,-0.758837321689217,-0.758837321689217,-0.758837321689217,-0.758837321689217,6.06527224295625,48,6.05540224693793,48,6.06527224295625,6.05540224693793,-0.572759123031454,-0.562889127013134,6.05540224693793,-0.562889127013134,-0.562889127013134,-0.562889127013134,5.26,-0.0698366737394623,-0.144265650511258,-0.107013142017706,2016-05-15
"D01_Union_Corn","2016-05-16",5.6900135448756,48,5.6900135448756,48,5.6900135448756,5.6900135448756,5.6900135448756,6.64659168808026,6.64659168808026,5.85247641446605,48,5.85247641446605,48,5.85247641446605,5.85247641446605,5.85247641446605,-0.162462869590454,-0.162462869590454,-0.162462869590454,-0.162462869590454,-0.162462869590454,NA,7.53050417365853,NA,45,6.59672201731945,48,NA,6.59672201731945,6.59672201731945,NA,-0.90670847244385,-0.90670847244385,-0.90670847244385,-0.90670847244385,6.19221739555063,48,6.22459399575805,48,6.19221739555063,6.22459399575805,-0.502203850675033,-0.534580450882454,6.22459399575805,-0.534580450882454,-0.534580450882454,-0.534580450882454,6.41,-0.0253452214649695,-0.141452179788432,-0.083397886253113,2016-05-16
"D01_Union_Corn","2016-05-23",0.8132547630042,17,0.8132547630042,17,NA,NA,NA,NA,NA,NA,16,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,2016-05-23
"D01_Union_Corn","2016-05-24",5.5915755773247,48,5.5915755773247,48,5.5915755773247,5.5915755773247,5.5915755773247,NA,10.847510659555,NA,46,8.32792702046722,48,NA,8.32792702046722,8.32792702046722,NA,-2.73635144314252,-2.73635144314252,-2.73635144314252,-2.73635144314252,NA,10.546245470812,NA,44,8.1148371226705,48,NA,8.1148371226705,8.1148371226705,NA,-2.5232615453458,-2.5232615453458,-2.5232615453458,-2.5232615453458,NA,46,8.22138207156886,48,NA,8.22138207156886,NA,-2.62980649424416,8.22138207156886,-2.62980649424416,-2.62980649424416,-2.62980649424416,4.86,-0.563035276366774,-0.519189618383909,-0.541112447375341,2016-05-24
"D01_Union_Corn","2016-05-25",5.75308114207308,48,5.75308114207308,48,5.75308114207308,5.75308114207308,5.75308114207308,NA,10.0297454814107,NA,45,7.71948437412393,48,NA,7.71948437412393,7.71948437412393,NA,-1.96640323205085,-1.96640323205085,-1.96640323205085,-1.96640323205085,NA,10.054738659008,NA,44,7.73244713259367,48,NA,7.73244713259367,7.73244713259367,NA,-1.97936599052059,-1.97936599052059,-1.97936599052059,-1.97936599052059,NA,45,7.7259657533588,48,NA,7.7259657533588,NA,-1.97288461128572,7.7259657533588,-1.97288461128572,-1.97288461128572,-1.97288461128572,5.21,-0.377428643387879,-0.379916696836965,-0.378672670112422,2016-05-25
"D01_Union_Corn","2016-05-26",5.9181213193668,48,5.9181213193668,48,5.9181213193668,5.9181213193668,5.9181213193668,5.09664023322985,5.09664023322985,4.10493652285622,48,4.10493652285622,48,4.10493652285622,4.10493652285622,4.10493652285622,1.81318479651058,1.81318479651058,1.81318479651058,1.81318479651058,1.81318479651058,5.20560634157533,5.20560634157533,4.18619085517816,48,4.18619085517816,48,4.18619085517816,4.18619085517816,4.18619085517816,1.73193046418864,1.73193046418864,1.73193046418864,1.73193046418864,1.73193046418864,4.14556368901719,48,4.14556368901719,48,4.14556368901719,4.14556368901719,1.77255763034961,1.77255763034961,4.14556368901719,1.77255763034961,1.77255763034961,1.77255763034961,5.52,0.328475506614235,0.313755518874754,0.321115512744494,2016-05-26
"D01_Union_Corn","2016-05-27",5.81304465737406,48,5.81304465737406,48,5.81304465737406,5.81304465737406,5.81304465737406,4.12902010337993,4.12902010337993,3.73756474917733,48,3.73756474917733,48,3.73756474917733,3.73756474917733,3.73756474917733,2.07547990819673,2.07547990819673,2.07547990819673,2.07547990819673,2.07547990819673,3.96823913494014,3.96823913494014,3.68999845725553,48,3.68999845725553,48,3.68999845725553,3.68999845725553,3.68999845725553,2.12304620011853,2.12304620011853,2.12304620011853,2.12304620011853,2.12304620011853,3.71378160321643,48,3.71378160321643,48,3.71378160321643,3.71378160321643,2.09926305415763,2.09926305415763,3.71378160321643,2.09926305415763,2.09926305415763,2.09926305415763,5.94,0.349407391952311,0.357415185205139,0.353411288578725,2016-05-27
"D01_Union_Corn","2016-05-28",5.32177906459608,48,5.32177906459608,48,5.32177906459608,5.32177906459608,5.32177906459608,4.57209389474556,4.57209389474556,4.5215217168543,48,4.5215217168543,48,4.5215217168543,4.5215217168543,4.5215217168543,0.80025734774178,0.80025734774178,0.80025734774178,0.80025734774178,0.80025734774178,4.84228502146934,4.84228502146934,4.71189444633044,48,4.71189444633044,48,4.71189444633044,4.71189444633044,4.71189444633044,0.609884618265643,0.609884618265643,0.609884618265643,0.609884618265643,0.609884618265643,4.61670808159237,48,4.61670808159237,48,4.61670808159237,4.61670808159237,0.705070983003711,0.705070983003711,4.61670808159237,0.705070983003711,0.705070983003711,0.705070983003711,6.72,0.119085914842527,0.0907566396228636,0.104921277232695,2016-05-28
