system:index,Station_ID,date,imageId,mean,model,region,variable,.geo
2014-05-31_3,D11,2014-05-31T00:00:00,2014-05-31,3.837609075043629,disalexi,3x3,et,
2014-05-31_1,D02,2014-05-31T00:00:00,2014-05-31,3.579275741710296,disalexi,3x3,et,
2014-06-01_4,D12,2014-06-01T00:00:00,2014-06-01,3.133333333333333,disalexi,3x3,et,
2014-06-01_5,D14,2014-06-01T00:00:00,2014-06-01,0.16797556719022685,disalexi,3x3,et,
2014-06-01_8,D04,2014-06-01T00:00:00,2014-06-01,6.396160558464222,disalexi,3x3,et,
2014-06-01_9,D06,2014-06-01T00:00:00,2014-06-01,6.964005235602094,disalexi,3x3,et,
2014-06-01_11,D10,2014-06-01T00:00:00,2014-06-01,4.822382198952879,disalexi,3x3,et,
2014-06-01_10,D09,2014-06-01T00:00:00,2014-06-01,3.255541012216404,disalexi,3x3,et,
2014-06-01_12,D13,2014-06-01T00:00:00,2014-06-01,4.971945898778357,disalexi,3x3,et,
2014-06-01_13,D01,2014-06-01T00:00:00,2014-06-01,4.793019197207679,disalexi,3x3,et,
2014-06-01_14,D05,2014-06-01T00:00:00,2014-06-01,1.4683246073298426,disalexi,3x3,et,
2014-06-01_6,D07,2014-06-01T00:00:00,2014-06-01,4.723603839441536,disalexi,3x3,et,
2014-06-01_7,D08,2014-06-01T00:00:00,2014-06-01,4.287478184991274,disalexi,3x3,et,
2014-06-01_2,D03,2014-06-01T00:00:00,2014-06-01,4.261300174520068,disalexi,3x3,et,
2014-06-01_3,D11,2014-06-01T00:00:00,2014-06-01,4.082068062827224,disalexi,3x3,et,
2014-06-01_1,D02,2014-06-01T00:00:00,2014-06-01,3.70152705061082,disalexi,3x3,et,
2014-06-02_4,D12,2014-06-02T00:00:00,2014-06-02,3.2847294938917972,disalexi,3x3,et,
2014-06-02_5,D14,2014-06-02T00:00:00,2014-06-02,0.4929319371727748,disalexi,3x3,et,
2014-06-02_8,D04,2014-06-02T00:00:00,2014-06-02,6.596160558464223,disalexi,3x3,et,
2014-06-02_9,D06,2014-06-02T00:00:00,2014-06-02,7.15287958115183,disalexi,3x3,et,
2014-06-02_11,D10,2014-06-02T00:00:00,2014-06-02,4.959904013961604,disalexi,3x3,et,
2014-06-02_10,D09,2014-06-02T00:00:00,2014-06-02,3.240314136125654,disalexi,3x3,et,
2014-06-02_12,D13,2014-06-02T00:00:00,2014-06-02,5.071945898778358,disalexi,3x3,et,
2014-06-02_13,D01,2014-06-02T00:00:00,2014-06-02,4.874956369982547,disalexi,3x3,et,
2014-06-02_14,D05,2014-06-02T00:00:00,2014-06-02,1.541928446771378,disalexi,3x3,et,
2014-06-02_6,D07,2014-06-02T00:00:00,2014-06-02,4.88612565445026,disalexi,3x3,et,
2014-06-02_7,D08,2014-06-02T00:00:00,2014-06-02,4.405541012216403,disalexi,3x3,et,
2014-06-02_2,D03,2014-06-02T00:00:00,2014-06-02,4.461300174520068,disalexi,3x3,et,
2014-06-02_3,D11,2014-06-02T00:00:00,2014-06-02,4.326483420593368,disalexi,3x3,et,
2014-06-02_1,D02,2014-06-02T00:00:00,2014-06-02,3.9487783595113424,disalexi,3x3,et,
2014-06-03_4,D12,2014-06-03T00:00:00,2014-06-03,3.166666666666666,disalexi,3x3,et,
2014-06-03_5,D14,2014-06-03T00:00:00,2014-06-03,0.39293193717277486,disalexi,3x3,et,
2014-06-03_8,D04,2014-06-03T00:00:00,2014-06-03,6.304450261780103,disalexi,3x3,et,
2014-06-03_9,D06,2014-06-03T00:00:00,2014-06-03,6.837609075043628,disalexi,3x3,et,
