system:index,Station_ID,date,imageId,mean,model,region,variable,.geo
2015-10-06_5,D14,2015-10-06T00:00:00,2015-10-06,3.2499128160418485,sims,3x3,et,
2015-10-06_8,D04,2015-10-06T00:00:00,2015-10-06,2.524967320261438,sims,3x3,et,
2015-10-06_9,D06,2015-10-06T00:00:00,2015-10-06,2.177244986922406,sims,3x3,et,
2015-10-06_11,D10,2015-10-06T00:00:00,2015-10-06,2.1116928446771377,sims,3x3,et,
2015-10-06_10,D09,2015-10-06T00:00:00,2015-10-06,1.1010907504363001,sims,3x3,et,
2015-10-06_12,D13,2015-10-06T00:00:00,2015-10-06,2.88911623857205,sims,3x3,et,
2015-10-06_13,D01,2015-10-06T00:00:00,2015-10-06,0.8458387799564272,sims,3x3,et,
2015-10-06_14,D05,2015-10-06T00:00:00,2015-10-06,2.6621775251421083,sims,3x3,et,
2015-10-06_6,D07,2015-10-06T00:00:00,2015-10-06,2.1890148212728855,sims,3x3,et,
2015-10-06_7,D08,2015-10-06T00:00:00,2015-10-06,1.343576940535633,sims,3x3,et,
2015-10-06_2,D03,2015-10-06T00:00:00,2015-10-06,2.8287456445993024,sims,3x3,et,
2015-10-06_3,D11,2015-10-06T00:00:00,2015-10-06,1.0715780296425457,sims,3x3,et,
2015-10-06_1,D02,2015-10-06T00:00:00,2015-10-06,3.142532751091703,sims,3x3,et,
2015-10-07_4,D12,2015-10-07T00:00:00,2015-10-07,2.489727272727273,sims,3x3,et,
2015-10-07_5,D14,2015-10-07T00:00:00,2015-10-07,3.2165649520488233,sims,3x3,et,
2015-10-07_8,D04,2015-10-07T00:00:00,2015-10-07,2.5527233115468415,sims,3x3,et,
2015-10-07_9,D06,2015-10-07T00:00:00,2015-10-07,2.177244986922406,sims,3x3,et,
2015-10-07_11,D10,2015-10-07T00:00:00,2015-10-07,2.1116928446771377,sims,3x3,et,
2015-10-07_10,D09,2015-10-07T00:00:00,2015-10-07,1.1010907504363001,sims,3x3,et,
2015-10-07_12,D13,2015-10-07T00:00:00,2015-10-07,2.8859817152808,sims,3x3,et,
2015-10-07_13,D01,2015-10-07T00:00:00,2015-10-07,0.8458387799564272,sims,3x3,et,
2015-10-07_14,D05,2015-10-07T00:00:00,2015-10-07,2.680279842588544,sims,3x3,et,
2015-10-07_6,D07,2015-10-07T00:00:00,2015-10-07,2.1462946817785524,sims,3x3,et,
2015-10-07_7,D08,2015-10-07T00:00:00,2015-10-07,1.3216976849750337,sims,3x3,et,
2015-10-07_2,D03,2015-10-07T00:00:00,2015-10-07,2.7516550522648084,sims,3x3,et,
2015-10-07_3,D11,2015-10-07T00:00:00,2015-10-07,1.0221447253705318,sims,3x3,et,
2015-10-07_1,D02,2015-10-07T00:00:00,2015-10-07,3.0842358078602623,sims,3x3,et,
2015-10-08_4,D12,2015-10-08T00:00:00,2015-10-08,2.3574545454545457,sims,3x3,et,
2015-10-08_5,D14,2015-10-08T00:00:00,2015-10-08,3.2986050566695724,sims,3x3,et,
2015-10-08_8,D04,2015-10-08T00:00:00,2015-10-08,1.3916339869281047,sims,3x3,et,
2015-10-08_9,D06,2015-10-08T00:00:00,2015-10-08,1.5050130775937225,sims,3x3,et,
2015-10-08_11,D10,2015-10-08T00:00:00,2015-10-08,2.2165794066317623,sims,3x3,et,
2015-10-08_10,D09,2015-10-08T00:00:00,2015-10-08,0.9382635253054101,sims,3x3,et,
2015-10-08_12,D13,2015-10-08T00:00:00,2015-10-08,0.7956029603831083,sims,3x3,et,
2015-10-08_13,D01,2015-10-08T00:00:00,2015-10-08,0.6712418300653594,sims,3x3,et,
2015-10-08_14,D05,2015-10-08T00:00:00,2015-10-08,0.5,sims,3x3,et,
2015-10-08_6,D07,2015-10-08T00:00:00,2015-10-08,0.5,sims,3x3,et,
2015-10-08_7,D08,2015-10-08T00:00:00,2015-10-08,0.5665456196096231,sims,3x3,et,
2015-10-08_2,D03,2015-10-08T00:00:00,2015-10-08,1.6087108013937281,sims,3x3,et,
2015-10-08_3,D11,2015-10-08T00:00:00,2015-10-08,0.5,sims,3x3,et,
2015-10-08_1,D02,2015-10-08T00:00:00,2015-10-08,1.6545851528384279,sims,3x3,et,
2015-10-09_4,D12,2015-10-09T00:00:00,2015-10-09,2.9077272727272727,sims,3x3,et,
2015-10-09_5,D14,2015-10-09T00:00:00,2015-10-09,4.027114210985179,sims,3x3,et,
2015-10-09_8,D04,2015-10-09T00:00:00,2015-10-09,1.7444008714596952,sims,3x3,et,
2015-10-09_9,D06,2015-10-09T00:00:00,2015-10-09,1.8695727986050572,sims,3x3,et,
2015-10-09_11,D10,2015-10-09T00:00:00,2015-10-09,2.7612565445026176,sims,3x3,et,
2015-10-09_10,D09,2015-10-09T00:00:00,2015-10-09,1.1644851657940665,sims,3x3,et,
2015-10-09_12,D13,2015-10-09T00:00:00,2015-10-09,1.0157161515019593,sims,3x3,et,
2015-10-09_13,D01,2015-10-09T00:00:00,2015-10-09,0.8417429193899783,sims,3x3,et,
2015-10-09_14,D05,2015-10-09T00:00:00,2015-10-09,0.6,sims,3x3,et,
2015-10-09_6,D07,2015-10-09T00:00:00,2015-10-09,0.6,sims,3x3,et,
2015-10-09_7,D08,2015-10-09T00:00:00,2015-10-09,0.6998184294144348,sims,3x3,et,
2015-10-09_2,D03,2015-10-09T00:00:00,2015-10-09,2.0198170731707314,sims,3x3,et,
2015-10-09_3,D11,2015-10-09T00:00:00,2015-10-09,0.607585004359198,sims,3x3,et,
2015-10-09_1,D02,2015-10-09T00:00:00,2015-10-09,2.085021834061135,sims,3x3,et,
2015-10-10_4,D12,2015-10-10T00:00:00,2015-10-10,2.812045454545455,sims,3x3,et,
2015-10-10_5,D14,2015-10-10T00:00:00,2015-10-10,3.8944638186573672,sims,3x3,et,
2015-10-10_8,D04,2015-10-10T00:00:00,2015-10-10,1.633289760348584,sims,3x3,et,
2015-10-10_9,D06,2015-10-10T00:00:00,2015-10-10,1.774193548387097,sims,3x3,et,
2015-10-10_11,D10,2015-10-10T00:00:00,2015-10-10,2.6543193717277487,sims,3x3,et,
2015-10-10_10,D09,2015-10-10T00:00:00,2015-10-10,1.122993019197208,sims,3x3,et,
2015-10-10_12,D13,2015-10-10T00:00:00,2015-10-10,0.9796691336525903,sims,3x3,et,
2015-10-10_13,D01,2015-10-10T00:00:00,2015-10-10,0.7851416122004358,sims,3x3,et,
2015-10-10_14,D05,2015-10-10T00:00:00,2015-10-10,0.6,sims,3x3,et,
2015-10-10_6,D07,2015-10-10T00:00:00,2015-10-10,0.6,sims,3x3,et,
2015-10-10_7,D08,2015-10-10T00:00:00,2015-10-10,0.6781207444394008,sims,3x3,et,
2015-10-10_2,D03,2015-10-10T00:00:00,2015-10-10,1.9913763066202086,sims,3x3,et,
2015-10-10_3,D11,2015-10-10T00:00:00,2015-10-10,0.6034437663469923,sims,3x3,et,
2015-10-10_1,D02,2015-10-10T00:00:00,2015-10-10,2.0469868995633194,sims,3x3,et,
2015-10-11_4,D12,2015-10-11T00:00:00,2015-10-11,2.5400909090909094,sims,3x3,et,
2015-10-11_5,D14,2015-10-11T00:00:00,2015-10-11,3.504882301656495,sims,3x3,et,
2015-10-11_8,D04,2015-10-11T00:00:00,2015-10-11,1.4805228758169935,sims,3x3,et,
2015-10-11_9,D06,2015-10-11T00:00:00,2015-10-11,1.6197907585004359,sims,3x3,et,
2015-10-11_11,D10,2015-10-11T00:00:00,2015-10-11,2.397338568935428,sims,3x3,et,
2015-10-11_10,D09,2015-10-11T00:00:00,2015-10-11,1.0105148342059338,sims,3x3,et,
2015-10-11_12,D13,2015-10-11T00:00:00,2015-10-11,0.8796691336525905,sims,3x3,et,
2015-10-11_13,D01,2015-10-11T00:00:00,2015-10-11,0.7181263616557735,sims,3x3,et,
2015-10-11_14,D05,2015-10-11T00:00:00,2015-10-11,0.5,sims,3x3,et,
2015-10-11_6,D07,2015-10-11T00:00:00,2015-10-11,0.5,sims,3x3,et,
2015-10-11_7,D08,2015-10-11T00:00:00,2015-10-11,0.6216976849750341,sims,3x3,et,
2015-10-11_2,D03,2015-10-11T00:00:00,2015-10-11,1.7688588850174218,sims,3x3,et,
2015-10-11_3,D11,2015-10-11T00:00:00,2015-10-11,0.5172624237140367,sims,3x3,et,
2015-10-11_1,D02,2015-10-11T00:00:00,2015-10-11,1.786768558951965,sims,3x3,et,
2015-10-12_4,D12,2015-10-12T00:00:00,2015-10-12,2.5400909090909094,sims,3x3,et,
2015-10-12_5,D14,2015-10-12T00:00:00,2015-10-12,3.535440278988666,sims,3x3,et,
2015-10-12_8,D04,2015-10-12T00:00:00,2015-10-12,1.4805228758169935,sims,3x3,et,
2015-10-12_9,D06,2015-10-12T00:00:00,2015-10-12,1.6086748038360943,sims,3x3,et,
2015-10-12_11,D10,2015-10-12T00:00:00,2015-10-12,2.3523123909249564,sims,3x3,et,
2015-10-12_10,D09,2015-10-12T00:00:00,2015-10-12,0.9882635253054102,sims,3x3,et,
2015-10-12_12,D13,2015-10-12T00:00:00,2015-10-12,0.8585546364823684,sims,3x3,et,
2015-10-12_13,D01,2015-10-12T00:00:00,2015-10-12,0.7056209150326799,sims,3x3,et,
2015-10-12_14,D05,2015-10-12T00:00:00,2015-10-12,0.5,sims,3x3,et,
2015-10-12_6,D07,2015-10-12T00:00:00,2015-10-12,0.5,sims,3x3,et,
2015-10-12_7,D08,2015-10-12T00:00:00,2015-10-12,0.6101225601452565,sims,3x3,et,
2015-10-12_2,D03,2015-10-12T00:00:00,2015-10-12,1.7688588850174218,sims,3x3,et,
2015-10-12_3,D11,2015-10-12T00:00:00,2015-10-12,0.5172624237140367,sims,3x3,et,
2015-10-12_1,D02,2015-10-12T00:00:00,2015-10-12,1.786768558951965,sims,3x3,et,
2015-10-13_4,D12,2015-10-13T00:00:00,2015-10-13,2.8006818181818187,sims,3x3,et,
2015-10-13_5,D14,2015-10-13T00:00:00,2015-10-13,3.885396687009591,sims,3x3,et,
2015-10-13_8,D04,2015-10-13T00:00:00,2015-10-13,1.6583006535947713,sims,3x3,et,
2015-10-13_9,D06,2015-10-13T00:00:00,2015-10-13,1.774193548387097,sims,3x3,et,
2015-10-13_11,D10,2015-10-13T00:00:00,2015-10-13,2.641273996509599,sims,3x3,et,
2015-10-13_10,D09,2015-10-13T00:00:00,2015-10-13,1.1186736474694592,sims,3x3,et,
2015-10-13_12,D13,2015-10-13T00:00:00,2015-10-13,0.959904222899434,sims,3x3,et,
2015-10-13_13,D01,2015-10-13T00:00:00,2015-10-13,0.7851416122004358,sims,3x3,et,
2015-10-13_14,D05,2015-10-13T00:00:00,2015-10-13,0.6,sims,3x3,et,
2015-10-13_6,D07,2015-10-13T00:00:00,2015-10-13,0.6,sims,3x3,et,
2015-10-13_7,D08,2015-10-13T00:00:00,2015-10-13,0.6665456196096232,sims,3x3,et,
2015-10-13_2,D03,2015-10-13T00:00:00,2015-10-13,1.9253484320557492,sims,3x3,et,
2015-10-13_3,D11,2015-10-13T00:00:00,2015-10-13,0.6,sims,3x3,et,
2015-10-13_1,D02,2015-10-13T00:00:00,2015-10-13,1.9850218340611356,sims,3x3,et,
2015-10-14_4,D12,2015-10-14T00:00:00,2015-10-14,2.9120454545454546,sims,3x3,et,
2015-10-14_5,D14,2015-10-14T00:00:00,2015-10-14,4.041325196163906,sims,3x3,et,
2015-10-14_8,D04,2015-10-14T00:00:00,2015-10-14,1.7332897603485842,sims,3x3,et,
2015-10-14_9,D06,2015-10-14T00:00:00,2015-10-14,1.837489102005231,sims,3x3,et,
2015-10-14_11,D10,2015-10-14T00:00:00,2015-10-14,2.686431064572426,sims,3x3,et,
2015-10-14_10,D09,2015-10-14T00:00:00,2015-10-14,1.122993019197208,sims,3x3,et,
2015-10-14_12,D13,2015-10-14T00:00:00,2015-10-14,0.9685676969960818,sims,3x3,et,
