system:index,Station_ID,date,imageId,mean,model,region,variable,.geo
2_2016-05-24_3,D11,2016-05-24T00:00:00,2_2016-05-24,1.7488839876488753,ucdpt,3x3,et,
2_2016-05-24_1,D02,2016-05-24T00:00:00,2_2016-05-24,4.214957570343904,ucdpt,3x3,et,
2_2016-05-25_4,D12,2016-05-25T00:00:00,2_2016-05-25,4.172666666666666,ucdpt,3x3,et,
2_2016-05-25_5,D14,2016-05-25T00:00:00,2_2016-05-25,5.736766712141883,ucdpt,3x3,et,
2_2016-05-25_8,D04,2016-05-25T00:00:00,2_2016-05-25,4.548924355050285,ucdpt,3x3,et,
2_2016-05-25_9,D06,2016-05-25T00:00:00,2_2016-05-25,1.0068319794784095,ucdpt,3x3,et,
2_2016-05-25_11,D10,2016-05-25T00:00:00,2_2016-05-25,5.4249931787176,ucdpt,3x3,et,
2_2016-05-25_10,D09,2016-05-25T00:00:00,2_2016-05-25,1.7737951531778693,ucdpt,3x3,et,
2_2016-05-25_12,D13,2016-05-25T00:00:00,2_2016-05-25,4.9350156041016495,ucdpt,3x3,et,
2_2016-05-25_13,D01,2016-05-25T00:00:00,2_2016-05-25,1.9616470588235293,ucdpt,3x3,et,
2_2016-05-25_14,D05,2016-05-25T00:00:00,2_2016-05-25,5.213333333333333,ucdpt,3x3,et,
2_2016-05-25_6,D07,2016-05-25T00:00:00,2_2016-05-25,5.420496674057649,ucdpt,3x3,et,
2_2016-05-25_7,D08,2016-05-25T00:00:00,2_2016-05-25,0.617392963119966,ucdpt,3x3,et,
2_2016-05-25_2,D03,2016-05-25T00:00:00,2_2016-05-25,5.606183445190156,ucdpt,3x3,et,
2_2016-05-25_3,D11,2016-05-25T00:00:00,2_2016-05-25,1.9552801058667844,ucdpt,3x3,et,
2_2016-05-25_1,D02,2016-05-25T00:00:00,2_2016-05-25,4.571456007146048,ucdpt,3x3,et,
2_2016-05-26_4,D12,2016-05-26T00:00:00,2_2016-05-26,4.4649011494252875,ucdpt,3x3,et,
2_2016-05-26_5,D14,2016-05-26T00:00:00,2_2016-05-26,6.159358799454298,ucdpt,3x3,et,
2_2016-05-26_8,D04,2016-05-26T00:00:00,2_2016-05-26,4.853974639265412,ucdpt,3x3,et,
2_2016-05-26_9,D06,2016-05-26T00:00:00,2_2016-05-26,1.0790123984608808,ucdpt,3x3,et,
2_2016-05-26_11,D10,2016-05-26T00:00:00,2_2016-05-26,5.80550704865848,ucdpt,3x3,et,
2_2016-05-26_10,D09,2016-05-26T00:00:00,2_2016-05-26,1.877965249199817,ucdpt,3x3,et,
2_2016-05-26_12,D13,2016-05-26T00:00:00,2_2016-05-26,5.234378065091397,ucdpt,3x3,et,
2_2016-05-26_13,D01,2016-05-26T00:00:00,2_2016-05-26,2.1026535947712417,ucdpt,3x3,et,
2_2016-05-26_14,D05,2016-05-26T00:00:00,2_2016-05-26,5.467777777777779,ucdpt,3x3,et,
2_2016-05-26_6,D07,2016-05-26T00:00:00,2_2016-05-26,5.840638580931263,ucdpt,3x3,et,
2_2016-05-26_7,D08,2016-05-26T00:00:00,2_2016-05-26,0.6609071640525648,ucdpt,3x3,et,
2_2016-05-26_2,D03,2016-05-26T00:00:00,2_2016-05-26,6.072366890380315,ucdpt,3x3,et,
2_2016-05-26_3,D11,2016-05-26T00:00:00,2_2016-05-26,2.1594265549183946,ucdpt,3x3,et,
2_2016-05-26_1,D02,2016-05-26T00:00:00,2_2016-05-26,4.918133095131756,ucdpt,3x3,et,
2_2016-05-27_4,D12,2016-05-27T00:00:00,2_2016-05-27,4.699333333333334,ucdpt,3x3,et,
2_2016-05-27_5,D14,2016-05-27T00:00:00,2_2016-05-27,6.471532514779445,ucdpt,3x3,et,
2_2016-05-27_8,D04,2016-05-27T00:00:00,2_2016-05-27,5.141219938784433,ucdpt,3x3,et,
2_2016-05-27_9,D06,2016-05-27T00:00:00,2_2016-05-27,1.1524711415134674,ucdpt,3x3,et,
